Year,Host_City,Host_Country,Total_Males,Total_Females,Total_Athletes,Summer,Winter,Discipline,Sport,Ath_Name,Gender,NOC,Home_Adv,Gold,Silver,Bronze,Total_Medals,NOC_Gold,NOC_Silver,NOC_Bronze,NOC_Total_Medals,NOC_Rating,NOC_Rank
1960,Rome,ITA,4727,611,5338,True,False,Jumping,Equestrian,"OPPES, Antonio",Men,ITA,True,0,0,1,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Cycling Track,Cycling,"GASPARELLA, Valentino",Men,ITA,True,0,0,1,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Jumping,Equestrian,"D'INZEO, Piero",Men,ITA,True,0,1,1,2,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Jumping,Equestrian,"D'INZEO, Raimondo",Men,ITA,True,1,0,1,2,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"DEZI, Aldo",Men,ITA,True,0,1,0,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"SARAUDI, Giulio",Men,ITA,True,0,0,1,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"BOSSI, Carmelo",Men,ITA,True,0,1,0,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"BENVENUTI, Giovanni",Men,ITA,True,1,0,0,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"LOPOPOLO, Alessandro",Men,ITA,True,0,1,0,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Weightlifting,Weightlifting,"MANNIRONI, Sebastiano",Men,ITA,True,0,0,1,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"MUSSO, Francesco",Men,ITA,True,1,0,0,1,15,11,18,44,85,4
