Country,Host_City,Year,Education_Index,Gold,Silver,Bronze,Total_Medals,Ath_Rating,Gold_Share,Medal_Share,Rating_Share,norm_Gold_Share,norm_Medal_Share,norm_Rating_Share
Estonia,Beijing,2008,0.8516177779999999,1,2,0,3,7,0.0015015015015015015,0.0014713094654242277,0.001734390485629336,0.0032227349300520034,0.003115095165816992,0.004370328265188703
Estonia,London,2012,0.858533333,0,1,1,2,3,0.0,0.00102880658436214,0.0007802340702210664,0.0,0.001709777027740088,0.0015653239035654208
Estonia,Salt Lake City,2002,0.8266533334,1,1,1,3,6,0.006134969325153374,0.006237006237006237,0.006224066390041493,0.013167739039353584,0.0182501833207324,0.017568961414620974
Estonia,Sydney,2000,0.807666667,1,0,2,3,5,0.0014947683109118087,0.0014866204162537165,0.0012428535918468805,0.0032082832039082724,0.003163720288573798,0.0029253208128533384
Estonia,Turin,2006,0.8530355559999999,3,0,0,3,9,0.017045454545454544,0.005649717514124294,0.008482563619227144,0.036585365853658534,0.01638504858404305,0.02420843317865995
Estonia,Vancouver,2010,0.858533333,0,1,0,1,2,0.0,0.001890359168241966,0.001890359168241966,0.0,0.004445929773519526,0.004828840965978822
Ethiopia,Athens,2004,0.2197607552,2,3,2,7,14,0.00303951367781155,0.003510531594784353,0.003528225806451613,0.00652383423530284,0.00959133739745909,0.009643798964211765
Ethiopia,Beijing,2008,0.300524493,4,2,1,7,17,0.006006006006006006,0.0034330554193231977,0.00421209117938553,0.012890939720208014,0.009345285497450976,0.011654208707169874
Ethiopia,London,2012,0.316521973,3,2,3,8,16,0.00473186119873817,0.00411522633744856,0.004161248374512354,0.01015618988997461,0.01151175085968584,0.011504742343874084
Ethiopia,Sydney,2000,0.168649644,4,1,3,8,17,0.005979073243647235,0.003964321110009911,0.004225702212279393,0.01283313281563309,0.011032500074377621,0.01169422206977683
Finland,Albertville,1992,0.7176244444,6,1,6,13,26,0.056074766355140186,0.040123456790123455,0.040123456790123455,0.12035559607932528,0.12586811223238625,0.11722551289094636
Finland,Athens,2004,0.802326667,0,2,0,2,4,0.0,0.0010030090270812437,0.0010080645161290322,0.0,0.0016278481257679567,0.002235093958204706
Finland,Atlanta,1996,0.7594822222,1,2,1,4,8,0.0016260162601626016,0.002154011847065159,0.0021645021645021645,0.0034899861193733893,0.005283248370888862,0.00563475945879669
Finland,Barcelone,1992,0.7176244444,1,4,2,7,13,0.0017793594306049821,0.0040887850467289715,0.0038348082595870206,0.0038191129242253277,0.011427777563617765,0.010545082133674099
Finland,Beijing,2008,0.815346667,1,2,2,5,9,0.0015015015015015015,0.0024521824423737125,0.0022299306243805748,0.0032227349300520034,0.006230190331633984,0.005827104353584937
Finland,Calgary,1988,0.6804866668,7,22,5,34,70,0.07954545454545454,0.12878787878787878,0.13257575757575757,0.17073170731707318,0.4074520877682824,0.3890143965142338
